Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2017 (#),Condo sales (%),1-year median price change (2016–2017) (%),5-year median price change (2013–2017) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2018,RUSSELL,"345,432","344,500",183,24,76,0,15,64,4,1960,"3,986","4,991",46,"54,081",79.9,51,12.1,12,1.1,24,14.6,9.3,"1,063",12,6.5,81.1,21.4,82.8,2.5,1.6,0.8,4.9,20,0,14,0,148,0,5,29,191,25,54,15,3,19,5.6,2.3,1.7,4,0,2,2,5,5.82,37
2018,SABIN,"679,375","685,000",263,23,73,0,28,52,1,1932,"4,513","9,591",38,"90,523",70.4,42.4,11.6,2.4,1.1,42.4,36.3,31.3,"1,369",11.2,4.6,91.8,28.4,83.3,1.8,3.9,0.4,6.1,17,0,20,0,98,1,1,28,146,19,37,2,1,16,12,12.7,4.6,17.3,0,2,2,1,2.7,83
2018,SELLWOOD-MORELAND,"551,295","501,000",274,27,193,15,2,39,0,1955,"8,879","4,265",40,"68,922",53,51.5,13.8,3.8,1.4,29.6,31.1,24.8,992,10.8,5.1,92.5,26.8,83,4,5.1,0,9.2,79,4,104,0,448,5,12,92,644,100,84,312,23,15,8.6,10.3,3.7,14.1,0,6,6,9,4.35,81
2018,SOUTH BURLINGAME,"493,701","492,000",217,34,38,0,7,41,0,1957,"2,015","4,740",39,"93,710",77,55.1,13.1,2.5,0,29.5,41.4,26.2,"1,332",7.2,8.6,91.5,27.3,77.2,5.3,2.3,5.7,13.3,4,0,7,0,10,1,0,5,22,5,13,13,5,11,7.7,6.9,1.7,8.6,0,8,8,2,4.02,55
2018,SOUTH PORTLAND,"549,282","469,550",344,37,206,66,10,33,0,1977,"10,071","5,915",37,"80,104",38.3,38.4,12.4,4.4,0.8,44.2,38.4,32.7,"1,450",11.6,5.7,82,11.1,68.5,7,8.7,2.5,18.2,45,0,49,0,276,5,5,45,370,55,42,70,6,11,18.7,5.2,13,18.2,4,22,26,11,6.36,56
2018,SOUTH TABOR,"444,453","435,000",251,22,100,10,5,64,1,1952,"6,624","8,289",38,"57,290",59.1,42.1,13.9,3.1,1.1,39.9,28.2,17.1,"1,020",12.7,8.2,85.4,22,79.8,2.2,5.9,0.9,9,48,0,43,0,193,6,4,86,322,58,57,12,2,19,12.6,9.5,1.3,10.8,0,4,4,4,4.64,68
2018,SOUTHWEST HILLS,"969,957","830,000",284,55,142,11,6,34,1,1950,"6,911","2,864",43,"123,356",73,60.6,7.2,4.1,0.3,28.3,35.4,44.8,"1,294",10.6,7.1,89,25.8,81.5,3.2,5.2,0.5,8.9,16,2,30,0,112,1,0,9,151,19,25,168,14,11,5.4,2.4,11.5,13.9,2,5,7,2,0.84,34
2018,ST. JOHNS,"342,558","345,000",240,20,307,10,11,73,1,1961,"13,132","1,193",38,"61,268",64.7,47.9,11.3,3.2,2.3,35.6,20.5,8.7,"1,163",9.6,5.8,76.9,28.2,84.2,1.7,1.6,0.1,3.4,195,5,89,0,322,9,26,133,544,235,59,"2,180",31,20,8.2,1.5,1.5,3,0,5,5,21,1.92,65
2018,SULLIVAN’S GULCH,"400,960","280,750",289,31,38,74,-20,24,3,1951,"3,244","10,170",39,"57,325",30.2,36.3,12.1,2.2,1.4,47.7,39.1,27.1,"1,114",11.1,4.4,89.5,10.9,73.4,1.3,5.9,1,8.2,55,9,26,1,265,1,24,73,364,90,140,5,2,13,12.4,11.4,8.5,19.9,3,4,7,3,9.08,87
2018,SUMNER,"302,821","300,500",210,38,46,0,8,84,7,1942,"2,237","2,828",37,"45,736",58.7,35,19,1.9,4.4,39.9,12.1,4.4,"1,017",22,5.7,71,35.2,70.1,12.6,4,1.2,17.8,39,5,21,0,110,5,12,55,186,61,110,16,3,19,10.7,0.7,11.9,12.6,1,4,5,1,1.26,64
2018,SUNDERLAND,"268,500","268,500",198,55,2,0,-9,16,0,1948,312,167,38,"47,384",49.9,31.8,18.6,1.6,5.6,42.6,10.8,4.1,"1,014",20.4,6,74.9,35.2,60.6,17.2,4.3,0.8,22.3,23,2,16,0,60,2,1,17,93,28,388,57,5,17,11.2,0.4,16,16.4,0,3,3,4,1.98,15
2018,SUNNYSIDE,"549,615","537,500",270,25,98,23,17,50,0,1938,"7,546","12,630",35,"65,311",43.6,35.3,10,3.4,0.5,51.1,38.4,27.1,"1,066",11.8,4.7,90,19.1,75.3,2.8,6,0.8,9.6,79,1,106,0,384,4,18,143,633,102,97,2,0,13,14.2,15.7,3.6,19.3,0,4,4,2,3.51,91
2018,SYLVAN-HIGHLANDS,"743,921","630,000",279,27,28,18,4,39,0,1895,"1,268","1,359",45,"161,886",89,69.1,7.3,3.6,0.4,19.5,39.4,36.2,"1,554",3.6,2.6,91,33.9,85.5,2.5,4.4,1.3,8.2,9,0,4,0,35,3,1,6,45,13,46,70,15,14,3.1,1.1,3.5,4.6,2,3,5,2,2.53,19
2018,UNIVERSITY PARK,"495,077","469,900",239,32,90,0,9,54,0,1956,"6,684","5,061",23,"59,040",60.3,26.5,7.5,2.5,0.4,60.4,23.4,21.5,"1,365",22.9,9.5,86.9,25.4,69.8,3.7,12.6,1.8,18.2,19,1,44,0,110,3,3,34,188,26,32,26,3,17,5.1,7.2,18.4,25.6,0,3,3,4,3.26,48
2018,VERNON,"565,347","548,000",251,46,57,12,12,64,0,1946,"2,728","8,801",36,"80,141",67.9,38.6,11.4,1.9,1.1,46.8,36.6,24.1,"1,296",13.6,6.7,91.5,26.7,81.6,1.5,5.3,1.4,8.2,31,0,12,0,56,1,3,20,88,35,45,17,9,16,11.5,12.5,3.1,15.6,0,2,2,1,1.85,88
2018,WEST PORTLAND PARK,"377,746","393,750",225,41,78,18,-3,54,3,1982,"3,825","5,244",36,"58,312",58.2,47.3,17.8,4.4,0.9,29.7,32,17.6,"1,119",15.3,5.2,80.6,28.5,78.2,6.7,2.2,3.4,12.4,31,0,16,0,47,2,1,14,77,34,29,39,8,14,11.2,0.9,2,2.9,0,7,7,2,2.97,62
2018,WILKES,"304,148","324,950",183,30,210,23,11,59,2,1982,"9,616","3,120",42,"55,427",70.4,52.3,12.5,6.4,2.4,26.4,14.4,7.8,"1,062",16.8,8.8,75.3,31,88.1,1.5,2.3,0.3,4.1,85,2,62,0,240,1,8,110,412,96,53,199,10,23,5.7,0.7,1.6,2.3,0,5,5,12,3.79,28
2018,WOODLAND PARK,"287,250","287,750",178,11,6,0,-5,49,0,1945,281,"5,857",42,"45,407",51.1,40.8,14.7,5.7,0.4,38.2,16.8,8.3,992,16.2,3.3,78.9,24.3,78.9,3.4,3.6,0,7,5,0,0,0,11,1,0,1,12,6,64,0,0,15,9.9,0.1,1.1,1.3,0,5,5,0,3.5,64
2018,WOODLAWN,"447,148","439,000",256,25,97,3,5,59,1,1950,"5,643","7,706",35,"72,176",68,35.6,11.5,1.8,1.8,49,33.3,20.4,"1,288",14.6,8.7,89.2,24.7,80.1,1.6,3.9,3,8.4,53,0,26,0,66,4,2,26,118,59,31,8,2,15,10.7,15.2,2.4,17.6,0,4,4,3,3.65,72
2018,WOODSTOCK,"474,926","432,000",260,30,165,0,2,55,1,1955,"8,568","6,873",39,"78,065",74.2,52.9,9.4,3.6,0.9,33.3,32.8,22.5,"1,324",7.9,5.1,89.9,31,83.5,2.3,5,0.8,8.2,44,2,52,0,244,2,12,123,419,60,56,14,2,18,10.5,7,4.4,11.4,0,5,5,4,3.05,65
